serial no,Registration Number,Date of Grant,Name Factory Address,IS NO,Product,Status,Valid Upto,Models deleted from scope,Brand,View Models
1,R-41147907,26-Dec-2019,"JabilCircuitDeMexicoSDeRLDeCVGUADALUPE420,GUADALAJARATECHNOLOGYPARK,ZAPOPAN,JALISCOCP45010,MEXICO",IS13252(Part1):2010/IEC60950-1:2005,2NodeApplianceServer(AUTOMATICDATAPROCESSINGMACHINE),Operative,25-Dec-2021,-,JABIL,J-M2216A-2D-1
2,R-41085979,06-Apr-2018,"CELESTICA(DONGGUAN-SSL)TECHNOLOGYLTDNORTHERNAREA,SONGSHANLAKE,SCIENCE&TECHNOLOGYINDUSTRIALPARK,DONGGUANCITY,GUANGDONGCHINA",IS13252(Part1):2010/IEC60950-1:2005,2UNVMeStorage(AutomaticDataProcessingMachine),Operative,05-Apr-2020,-,Celestica,X2024-M
3,R-41126209,20-May-2019,"KontronCanadaInc.4555AMBROISE-LAFORTUNE,BOISBRIAND,QUEBEC,J7H0A4,Canada",IS13252(Part1):2010/IEC60950-1:2005,2URMComputer(AutomaticDataProcessingMachine),Operative,19-May-2021,-,KONTRON,"SYMKLOUD(followingmodelsincludedon12July2019)ME1100(followingmodelsincludedon02Sep2019)CC2800-DC,CC2800-AC"
4,R-41069965,18-Jul-2017,"3DSYSTEMSCORPORATION333THREEDSYSTEMCIRROCKHILL,SC29730,SOUTHCAROLINAUnitedStates-29730",IS13252(Part1):2010/IEC60950-1:2005,3DScanner,Expired,17-Jul-2019,-,Sense,Sense-RS
5,R-41157309,26-May-2020,"WuhanWeiMaTechnologyCo,.Ltd.ROOMA-F-508,CHUANGXINGHUITECHNOLOGYPARK,NO.8MAODIANSHANXIROAD,EASTLAKENEWTECHNOLOGYDEVELOPMENTZONE,WUHAN,HUBEI,China-430000",IS13252(PART1):2010/IEC60950-1:2005,3DScanner(Scanners),Operative,25-May-2022,-,WuhanWeimaTechnologyCoLtd,"USOL,USOL-DUO,USOL-X"
6,R-41069582,13-Jul-2017,"CoretronicProjection(Kunshan)CorporationNO.20,3RDAVE,KUNSHANFREETRADEZONE,JIANGSU,China-215300",IS13252(Part1):2010/IEC60950-1:2005,3MMultiTouchDisplay(VisualDisplayUnit),Expired,12-Jul-2019,-,3M,C5567PW(followingmodelsincludedon11Sep2017)C4267PW
7,R-41076589,08-Nov-2017,"PIMASIASDNBHDNO38&40,JALANMEGA1/5,TAMANPERINDUSTRIANNUSACEMERLANG,81550,GELANGPATAH,JOHAR,MALAYSIA",IS13252(Part1):2010/IEC60950-1:2005,3UIndustrialComputer(ADPM),Expired,07-Nov-2019,-,Rapiscan,"BPI-SV-PC,BPI-DV-PC,BPI-NE-PC"
8,R-41156914,19-May-2020,"ShenzhenKingChuangTechnologyElectronicsCo.,Ltd.BUILDING7TH,MEI101,58THGUANGTIANROAD,LUOTIANCOMMUNITY,YANLUOSTREET,BAO'ANDISTRICT,SHENZHENCITY,GUANGDONGPROVINCE,CHINA-518100",IS13252(PART1):2010/IEC60950-1:2005,4.3?BabyVideoMonitor(Videomonitor),Operative,18-May-2022,-,M-LOGO(Motorola),LUX64CONNECTPU
9,R-41147788,24-Dec-2019,"AskeyComputerCorp10,FNO.119,JIANKANGRD.,ZHONGHEDIST.NEWTAIPEICITY235,TAIWAN,R.O.C.-23504",IS13252(Part1):2010/IEC60950-1:2005,4KTVDevice(AutomaticDataProcessingMachine),Operative,23-Dec-2021,-,ASKEY,"ADT-3,STI6130"
10,R-41158194,08-Jun-2020,"SIM2BVINTERNATIONALS.R.L.VIAUDINE,5933061RIVIGNANO-TEOR(UD)-ITALY-33061",IS13252(PART1):2010/IEC60950-1:2005,4KUHDDLPProjector(AutomaticDataProcessingMachine),Operative,07-Jun-2022,-,SOUND&VISION(LABEL),"SIM2CRYSTAL4,SIM2Crystal5,SIM2DOMINO4,SIM2Domino5,SIM2DUALNERO4S,SIM2DUALNERO4SGOLD,SIM2NERO4S,SIM2NERO4SGOLD,SIM2Nero5,SIM2XTV"
11,R-41011592,11-Dec-2014,"KONTRONEUROPEGMBHLISE-MEITNER-STR.3-5,86156AUGSBURG,BAVARIAGERMANY86156",IS13252(Part1):2010/IEC60950-1:2005,4UINDUSTRIALCOMPUTER(ADPM),Expired,10-Dec-2018,,kontron,KISS4U965-A(followingmodelincludedon27Sep2016)KISS2UV2KTQ87-A
12,R-41003050,16-Dec-2013,"FLEXTRONICSINTERNATIONALKFT,POSTAU63,8900ZALAEGERSZEDG,HUNGARY",IS13252(Part1):2010/IEC60950-1:2005,4USTORAGENODES2USTORAGENODES,Expired,15-Dec-2015,,ISILONSYSTEMS,"X400,NL400(4USTORAGENODES)S200,X200(2USTORAGENODES)"
13,R-41154695,17-Mar-2020,"GuangzhouShiruiElectronicsCo.,Ltd.NO.192,KEZHUROAD,GUANGZHOUECONOMIC&TECHNOLOGICALDEVELOPMENTZONE,GUANGZHOU,China-510663",IS13252(Part1):2010/IEC60950-1:2005,65InteractiveLEDDisplay(AutomaticDataProcessingMachine),Operative,16-Mar-2022,-,SPECKTRON,"UDX-65E,UDX-65S(followingmodelsincludedon02Jun2020)MT22XS,MT22H,MT22S,MT22X,MT22G,MT22GH,MT22GS,MT22GX"
14,R-41060534,08-Feb-2017,"ShenzhenJOYHONGTechnologyCOLTDBUILDINGA2,ZHENGFENGINDUSTRIALPARK,FENGTANGROAD,FUYONG,BAOAN,SHENZHEN,CHINA-524788",IS13252(Part1):2010/IEC60950-1:2005,8inchRisc-basedTablet,Expired,07-Feb-2019,-,AMobile,IOT-800
15,R-41102105,20-Sep-2018,"LogwellTechnologyCo.,Ltd.1F,NO.254,SEC.3,DATUNGRD,XIZHIDIST.,NEWTAIPEICITY221,TAIWAN(R.O.C)",IS13252(Part1):2010/IEC60950-1:2005,8kMediaPlayer(ADPM),Operative,19-Sep-2020,-,GETAC,SCY814A00
16,R-41075671,27-Oct-2017,"ChiconyPowerTechnology(Suzhou)Co.Ltd.NO.1058,JIULONGROAD,WUJIANGECONOMICANDTECHNOLOGICALDEVELOPMENTZONE,JIANGSUPROVINCE,CHINA-215200",IS13252(Part1):2010/IEC60950-1:2005,ACAdapter,Expired,26-Oct-2019,-,HP,TPN-CA09(followingmodelsincludedon14Nov2017)TPC-CA61(followingmodelsincludedon04Jan2018)TPN-CA10(followingmodelsincludedon31Jan2018)TPN-CA13
17,R-41041700,16-Jun-2016,"KempowerElectronicDongGuanLimited73ROADPUXINGWEST,SAMSUNGMANAGEMENTDISTRICT,QINGXITOWN,DONGGUANGUANGDONGCHINA-523656",IS13252(Part1):2010/IEC60950-1:2005,ACAdapter,Deferred,15-Jun-2018,-,KEMPOWER,"KA3E1200500,KA3E1201000"
18,R-41041742,16-Jun-2016,"DeltaElectronicsPower(Dongguan)Co.,Ltd.DELTAINDUSTRIALESTATE,SHIJIETOWN,DONGGUANCITY,GUANGDONGPROVINCE523308CHINA",IS13252(Part1):2010/IEC60950-1:2005,ACAdapter,Operative,15-Jun-2025,-,CISCO,"MA-PWR-90WAC(followingmodelsincludedon25Oct2016)DPS-660BBC,DPS-660BBB,DPS-660BBA,DPS-450AB-1C,DPS-450AB-1B,DPS-450AB-1A(followingmodelsincludedon03Nov2016)DPS-650AB-4D,DPS-650AB-4C,DPS-650AB-4B,DPS-650AB-4A,DPS-650AB-2D,DPS-650AB-2C,DPS-650AB-2B,DPS-500AB-29A,DPS-500AB-28A,DPS-650AB-2A(FollowingModelsincludedon26Sep2017)DPS-650AB-4E,DPS-650AB-2E"
